attendance_percentage,assignment_average,test_average,lms_login_count,risk_level,outcome
77.87,51.9,50.64,21,Medium,1
45.9,72.53,54.14,12,High,1
32.89,31.35,14.68,14,High,0
49.1,52.9,39.74,15,High,0
61.58,47.46,27.16,12,High,0
31.17,49.11,33.21,13,High,0
97.61,76.17,80.46,51,Low,1
72.23,57.83,71.09,56,Medium,1
26.15,14.52,40.77,14,High,0
53.9,50.21,57.24,29,High,1
56.76,64.83,53.47,49,Medium,1
37.91,54.48,17.15,5,High,0
76.04,68.56,86.85,54,Low,1
72.08,68.96,78.59,62,Medium,1
94.26,74.26,72.92,66,Low,1
73.64,75.24,68.97,64,Medium,1
90.37,80.08,80.43,56,Low,1
47.12,64.81,42.31,44,High,1
85.38,86.46,70.2,38,Low,1
20.35,63.38,50.33,8,High,0
66.27,73.34,72.16,44,Medium,1
75.24,77.23,78.44,68,Low,1
37.08,43.41,50.46,17,High,0
89.86,69.79,72.29,54,Low,1
85.17,59.53,75.63,53,Low,1
85.51,55.03,90.38,69,Low,1
47.11,53.3,31.72,9,High,0
63.51,63.15,64.02,38,Medium,1
70.82,83.78,74.89,62,Medium,1
48.14,45.85,50.94,6,High,0
59.58,57.28,66.9,29,Medium,1
96.79,65.53,49.52,68,Medium,1
76.02,74.35,71.39,68,Low,1
61.65,70.55,65.4,24,Medium,1
79.42,74.87,81.01,68,Low,1
89.74,75.81,66.95,56,Low,1
84.49,61.37,70.09,82,Low,1
65.81,77.85,85.47,57,Medium,1
82.99,68.99,72.86,56,Low,1
89.94,61.59,77.96,82,Low,1
54.43,64.3,45.44,30,High,1
32.34,41.29,42.04,16,High,0
72.07,67.79,62.01,40,Medium,1
71.05,64.44,74.57,52,Medium,1
88.91,73.91,67.85,59,Low,1
61.47,44.75,24.55,9,High,0
79.67,63.39,49.41,12,Medium,1
81.64,66.33,59.83,41,Medium,1
47.97,36.47,40.81,8,High,0
47.87,25.76,50.75,9,High,0
92.87,71.17,61.71,73,Low,1
52.39,69.8,67.59,18,High,1
89.78,73.12,82.96,68,Low,1
56.4,48.91,28.71,15,High,0
60.28,23.6,14.61,0,High,0
32.72,44.44,44.6,13,High,0
83.86,79.77,63.37,78,Low,1
70.59,69.7,77.9,48,Medium,1
62.56,62.34,47.45,24,Medium,1
42.93,57.43,37.18,9,High,0
78.41,83.32,69.71,55,Low,1
82.83,69.47,79.48,68,Low,1
56.74,39.86,60.09,10,Medium,0
86.38,69.09,73.77,73,Low,1
58.14,38.7,54.87,11,Medium,1
83.83,87.08,83.81,48,Low,1
76.13,68.64,64.12,82,Low,1
42.27,57.3,30.34,14,High,0
80.08,74.07,86.89,56,Low,1
78.71,76.85,83.35,54,Low,1
61.93,70.01,61.6,30,Medium,1
97.59,78.19,61.02,34,Low,1
82.49,54.09,52.43,66,Medium,1
71.01,72.01,77.64,65,Medium,1
54.25,59.25,46.2,32,High,1
86.07,52.34,49.82,43,Medium,1
70.59,31.78,41.42,46,High,0
44.44,45.76,23.28,20,High,0
75.33,73.64,42.09,25,High,1
91.04,67.63,63.45,43,Low,1
71.83,64.02,69.35,69,Medium,1
59.91,59.26,49.84,23,Medium,1
61.02,70.43,53.65,42,Medium,1
60.68,32.7,44.7,17,High,0
83.01,64.58,88.86,79,Low,1
38.72,52.09,43.73,14,High,0
75.68,73.98,72.31,94,Low,1
94.71,65.63,76.26,69,Low,1
82.18,78.45,73.74,55,Low,1
34.51,40.02,42.39,26,High,0
97.99,90.22,70.51,52,Low,1
79.04,69.72,74.65,42,Low,1
71.61,45.35,63.59,23,Medium,1
90.19,64.54,69.73,80,Low,1
92.89,74.21,72.21,76,Low,1
87.08,73.81,82.82,48,Low,1
37.93,54.0,35.68,0,High,0
69.19,37.1,53.13,31,Medium,1
31.39,33.75,12.41,10,High,0
63.64,37.5,63.13,41,Medium,1
75.12,67.51,86.24,61,Low,1
74.56,85.42,68.23,76,Medium,1
79.16,77.32,68.93,78,Low,1
55.89,38.1,34.61,7,High,0
87.44,72.41,56.63,69,Medium,1
57.39,50.43,21.58,18,High,0
56.9,53.35,45.82,17,Medium,1
94.81,79.48,70.73,82,Low,1
75.5,71.7,74.66,70,Low,1
71.77,78.25,73.34,82,Medium,1
76.58,77.32,69.52,69,Low,1
75.37,73.39,56.84,67,Medium,1
77.73,75.21,72.4,83,Low,1
91.1,69.14,62.87,44,Low,1
86.67,78.91,65.3,58,Low,1
57.01,49.48,60.23,42,Medium,1
83.61,70.62,78.75,62,Low,1
45.05,30.14,21.15,9,High,0
79.97,66.27,82.88,55,Low,1
85.02,65.78,68.64,74,Low,1
75.5,71.8,63.93,69,Low,1
19.67,24.74,39.75,22,High,0
73.91,61.66,56.08,24,Medium,1
73.1,62.47,49.49,29,Medium,1
77.98,65.94,71.54,61,Low,1
73.95,53.4,60.98,35,Medium,1
38.51,32.87,18.9,24,High,0
76.99,50.6,40.32,30,High,1
60.35,44.38,25.08,19,High,0
83.59,73.59,76.53,60,Low,1
51.61,35.29,32.75,20,High,0
78.71,71.64,85.07,87,Low,1
65.42,66.38,75.95,31,Medium,1
76.41,46.02,64.76,38,Low,1
83.58,67.71,55.93,30,Medium,1
87.01,73.08,77.1,55,Low,1
84.5,88.26,57.32,65,Medium,1
86.17,59.63,69.03,75,Low,1
61.89,70.28,53.09,31,Medium,1
67.85,58.09,52.39,35,Medium,1
42.51,45.93,45.67,13,High,0
83.51,72.51,57.61,99,Medium,1
82.11,63.9,76.42,79,Low,1
39.74,48.77,44.0,19,High,1
79.94,61.09,80.25,95,Low,1
74.63,56.3,46.06,44,Medium,1
41.82,18.38,28.37,0,High,0
51.98,44.1,33.47,4,High,0
74.4,54.1,41.03,29,High,0
27.0,40.38,57.9,13,High,0
78.5,60.99,65.05,78,Low,1
49.82,40.5,50.48,16,High,1
47.67,60.21,55.95,29,High,1
82.33,74.68,65.58,37,Low,1
47.42,25.49,30.5,13,High,0
56.7,50.33,55.75,47,Medium,1
65.32,66.06,55.83,22,Medium,1
74.04,73.68,59.36,62,Medium,1
87.99,86.39,65.39,40,Low,1
74.5,79.51,65.85,60,Medium,1
86.71,79.33,68.97,67,Low,1
69.26,42.18,55.55,40,Medium,1
36.66,33.3,45.22,9,High,0
54.7,50.9,38.61,13,High,0
63.98,67.9,41.56,40,High,1
67.96,75.1,98.26,62,Medium,1
100.0,79.2,64.07,86,Low,1
59.46,53.85,44.05,41,High,1
94.43,58.04,76.14,68,Low,1
51.06,54.31,57.35,23,High,1
80.18,85.51,63.99,42,Low,1
86.96,71.35,67.41,67,Low,1
47.91,70.3,56.16,51,High,1
82.49,76.88,76.54,69,Low,1
82.25,55.36,66.83,70,Low,1
39.53,53.71,59.57,42,High,1
57.65,74.67,59.38,24,Medium,1
85.13,75.44,79.54,63,Low,1
64.73,72.56,51.7,41,Medium,1
39.64,49.83,42.51,6,High,0
69.78,69.97,64.66,58,Medium,1
68.19,84.02,64.99,69,Medium,1
76.73,77.7,68.73,51,Low,1
87.87,63.31,78.52,84,Low,1
70.15,54.23,67.24,21,Medium,1
65.36,68.87,77.93,80,Medium,1
73.23,70.24,67.33,28,Medium,1
47.75,43.04,44.9,50,High,0
66.16,46.75,46.94,6,Medium,1
84.06,72.97,64.34,53,Low,1
84.07,43.64,52.14,27,Medium,1
92.97,72.45,76.86,68,Low,1
44.1,28.42,36.07,23,High,0
58.03,52.61,52.2,38,Medium,1
29.93,28.29,33.14,11,High,0
33.97,35.83,47.02,5,High,0
90.0,66.81,74.35,64,Low,1
78.1,58.01,72.31,74,Low,1
46.9,44.26,53.57,15,High,0
69.16,59.54,69.53,64,Medium,1
76.48,74.33,69.88,60,Low,1
52.05,53.11,72.48,20,High,1
63.89,72.42,51.02,28,Medium,1
83.53,64.09,48.87,27,Medium,1
71.87,56.49,55.27,24,Medium,1
54.7,44.69,31.04,26,High,0
90.74,62.19,76.11,61,Low,1
44.36,17.29,41.05,4,High,0
65.04,63.92,57.29,26,Medium,1
78.74,69.79,67.29,53,Low,1
58.66,47.54,62.52,34,Medium,1
61.04,67.26,54.0,32,Medium,1
70.35,70.63,60.17,76,Medium,1
84.88,76.73,71.46,55,Low,1
78.68,64.99,73.94,76,Low,1
80.9,76.56,59.34,58,Medium,1
92.7,82.06,59.31,81,Medium,1
75.11,73.71,77.94,81,Low,1
89.66,69.34,75.5,77,Low,1
59.13,54.27,49.5,32,Medium,1
86.96,56.95,82.66,80,Low,1
86.78,75.07,75.86,54,Low,1
58.89,25.5,18.65,12,High,0
83.16,56.44,86.4,75,Low,1
72.35,58.62,58.25,38,Medium,1
67.94,72.18,70.72,67,Medium,1
62.48,64.72,50.38,36,Medium,1
60.82,45.6,38.47,26,High,0
77.03,80.9,72.17,44,Low,1
86.33,84.34,65.26,84,Low,1
47.54,55.61,29.49,13,High,0
82.95,64.14,80.57,90,Low,1
77.92,79.84,87.28,30,Low,1
87.19,66.22,75.66,62,Low,1
75.55,57.64,63.48,35,Low,1
57.04,69.0,78.72,65,Medium,1
60.53,61.37,50.28,36,Medium,1
81.93,66.16,54.38,54,Medium,1
67.97,45.26,64.24,59,Medium,1
77.17,51.56,24.87,49,High,1
83.8,78.01,68.94,51,Low,1
84.56,77.28,69.51,66,Low,1
85.89,71.4,86.58,55,Low,1
88.15,81.19,72.34,74,Low,1
43.13,27.42,34.01,21,High,0
81.74,77.12,70.61,60,Low,1
64.5,45.5,61.73,39,Medium,1
90.89,68.08,79.78,67,Low,1
62.04,43.38,69.67,41,Medium,1
48.51,6.0,54.67,20,High,0
82.73,45.78,66.79,47,Low,1
79.64,82.08,71.6,85,Low,1
83.99,73.9,65.65,74,Low,1
82.07,79.55,78.45,39,Low,1
76.8,78.7,69.12,0,Low,1
60.33,61.6,49.52,23,Medium,1
59.23,50.62,36.12,18,High,0
93.39,74.55,56.28,69,Medium,1
67.85,59.4,49.02,30,Medium,1
38.22,38.74,44.97,13,High,0
65.84,78.39,93.17,56,Medium,1
88.81,74.7,62.67,77,Low,1
84.89,76.56,70.04,70,Low,1
71.42,53.66,73.94,25,Medium,1
61.8,33.95,39.95,21,High,0
84.67,82.18,70.29,56,Low,1
77.93,77.5,41.3,41,High,1
84.24,70.93,73.82,64,Low,1
63.84,72.33,63.88,70,Medium,1
35.85,33.78,48.09,14,High,0
77.31,72.51,65.43,94,Low,1
93.33,64.98,45.8,38,Medium,1
64.52,76.19,79.64,45,Medium,1
82.41,73.14,89.48,38,Low,1
96.81,71.91,70.45,71,Low,1
59.06,63.1,47.86,38,Medium,1
84.13,36.26,54.26,49,Medium,1
41.62,69.03,70.86,37,High,1
82.43,67.43,86.02,39,Low,1
75.26,74.27,74.42,48,Low,1
96.89,66.43,56.12,69,Medium,1
87.33,75.47,68.22,36,Low,1
87.3,65.15,58.89,92,Medium,1
37.78,75.13,24.07,6,High,0
74.88,79.02,63.84,88,Medium,1
62.3,71.59,66.32,83,Medium,1
71.0,72.57,70.57,68,Medium,1
74.58,68.92,73.87,70,Medium,1
85.9,88.14,79.06,45,Low,1
73.87,79.38,58.5,42,Medium,1
80.86,60.49,78.42,61,Low,1
70.42,77.61,81.06,41,Medium,1
12.03,43.76,64.19,13,High,0
76.6,72.59,45.9,90,Medium,1
82.81,77.76,70.93,66,Low,1
54.6,64.46,42.91,50,High,1
83.3,65.5,70.96,74,Low,1
22.62,54.17,42.24,6,High,0
63.42,52.64,86.81,38,Medium,1
78.22,70.45,79.55,19,Low,1
79.66,70.77,83.16,65,Low,1
87.41,60.67,58.55,67,Medium,1
87.62,69.78,74.31,66,Low,1
74.2,67.5,90.95,65,Medium,1
71.03,65.95,46.53,38,Medium,1
63.71,48.23,9.0,17,High,0
84.34,64.39,76.08,68,Low,1
91.7,89.93,75.54,88,Low,1
69.99,65.54,65.33,20,Medium,1
27.16,53.83,21.17,17,High,0
76.68,65.78,59.08,56,Medium,1
59.52,57.41,59.91,37,Medium,1
83.1,89.65,79.12,69,Low,1
63.66,82.92,51.97,31,Medium,1
77.58,75.23,71.61,58,Low,1
66.76,78.02,63.98,43,Medium,1
76.28,75.23,77.3,75,Low,1
74.69,80.02,51.08,36,Medium,1
42.59,58.06,64.48,18,High,1
85.12,76.73,85.5,66,Low,1
80.38,62.81,80.53,42,Low,1
64.61,49.64,67.07,45,Medium,1
79.27,78.28,77.96,67,Low,1
82.37,45.22,45.15,18,Medium,1
82.44,70.19,74.03,88,Low,1
76.74,76.11,71.64,76,Low,1
85.19,75.96,78.33,63,Low,1
100.0,75.86,65.54,56,Low,1
70.1,50.74,51.21,12,Medium,1
68.55,68.41,41.08,40,High,1
69.72,70.37,64.38,78,Medium,1
72.14,86.24,65.0,82,Medium,1
75.41,71.98,72.29,92,Low,1
88.68,82.72,66.86,65,Low,1
64.89,72.83,83.95,98,Medium,1
50.67,50.27,45.42,43,High,1
70.14,70.99,56.92,66,Medium,1
89.12,86.64,66.49,82,Low,1
50.53,16.93,19.54,10,High,0
55.61,67.64,51.64,14,Medium,1
92.53,72.84,82.11,70,Low,1
81.87,82.66,62.31,54,Low,1
67.63,61.33,67.41,59,Medium,1
54.27,33.37,22.74,32,High,0
80.8,45.88,78.76,12,Low,1
86.49,66.85,57.23,65,Medium,1
36.44,5.39,43.07,20,High,0
41.2,22.89,42.12,20,High,0
78.35,84.28,81.39,64,Low,1
63.05,67.95,75.24,61,Medium,1
56.47,63.62,62.25,29,Medium,1
85.96,78.3,77.78,39,Low,1
82.22,65.55,55.77,81,Medium,1
60.98,47.97,51.36,51,Medium,1
43.81,32.32,63.46,16,High,0
84.11,71.1,78.68,63,Low,1
64.22,53.44,43.56,40,High,1
89.29,74.91,73.67,78,Low,1
87.32,65.83,69.13,43,Low,1
87.32,78.04,75.93,47,Low,1
76.22,71.21,64.17,54,Low,1
81.23,81.67,82.15,35,Low,1
73.61,47.2,77.81,25,Medium,1
54.13,81.25,49.18,46,High,1
85.22,77.66,59.16,57,Medium,1
79.25,85.14,73.0,84,Low,1
83.42,72.11,69.48,57,Low,1
53.16,28.89,35.52,12,High,0
53.68,47.49,15.5,5,High,0
49.16,44.46,63.08,10,High,1
68.14,89.21,86.16,56,Medium,1
86.05,85.12,88.09,61,Low,1
79.06,70.32,74.83,54,Low,1
66.41,56.28,67.08,39,Medium,1
62.44,44.63,68.83,39,Medium,1
85.51,80.74,78.79,35,Low,1
30.36,60.73,49.65,6,High,0
59.75,66.8,39.23,38,High,1
87.9,68.35,75.24,66,Low,1
73.74,77.52,71.12,37,Medium,1
89.73,84.86,76.44,62,Low,1
86.39,84.42,73.24,56,Low,1
50.83,41.32,52.62,22,High,0
79.13,75.08,69.06,44,Low,1
41.24,56.98,49.44,2,High,0
57.18,50.34,49.93,7,Medium,1
22.38,27.52,30.24,4,High,0
72.56,68.41,73.12,59,Medium,1
60.15,26.42,29.67,11,High,0
79.23,78.25,66.03,65,Low,1
100.0,76.39,61.78,49,Low,1
85.08,79.55,53.75,51,Medium,1
50.67,59.21,70.48,32,High,1
66.91,67.58,62.3,22,Medium,1
47.55,48.78,42.85,42,High,0
66.76,68.65,52.16,50,Medium,1
86.55,68.43,83.75,41,Low,1
92.34,75.16,65.67,90,Low,1
46.43,43.86,64.85,14,High,1
91.34,74.16,64.78,73,Low,1
62.78,58.68,60.32,41,Medium,1
73.89,69.87,62.79,69,Medium,1
69.57,86.53,78.65,58,Medium,1
85.4,77.18,65.27,60,Low,1
80.88,74.97,86.96,61,Low,1
85.84,72.45,85.24,64,Low,1
86.66,78.13,60.35,68,Low,1
64.65,79.43,49.83,36,Medium,1
72.79,66.28,66.13,65,Medium,1
78.73,71.84,58.11,88,Medium,1
86.14,84.13,53.69,46,Medium,1
94.41,69.97,66.53,38,Low,1
69.92,48.05,50.08,42,Medium,1
81.94,67.52,73.69,53,Low,1
53.02,48.24,46.4,27,High,1
40.11,49.21,36.98,22,High,0
82.49,61.02,63.78,33,Low,1
80.86,76.99,85.1,56,Low,1
56.76,50.53,47.23,30,Medium,1
61.61,54.03,54.54,21,Medium,1
86.78,64.91,60.82,60,Low,1
63.72,43.09,32.52,8,High,0
71.52,57.14,59.15,23,Medium,1
81.04,80.67,66.33,77,Low,1
78.42,60.17,72.96,63,Low,1
67.47,61.69,56.37,46,Medium,1
69.41,74.65,76.29,57,Medium,1
28.66,40.19,38.86,9,High,0
73.11,66.27,78.97,67,Medium,1
59.12,67.97,67.4,21,Medium,1
41.03,49.6,34.88,23,High,0
79.96,70.69,72.29,86,Low,1
72.3,60.41,55.45,30,Medium,1
93.68,82.39,71.27,91,Low,1
29.23,59.93,55.36,14,High,0
69.52,65.64,88.06,90,Medium,1
93.25,77.87,68.57,70,Low,1
50.87,75.22,23.64,0,High,0
69.9,67.63,77.94,58,Medium,1
78.04,69.95,70.38,78,Low,1
39.63,21.93,50.92,13,High,0
81.0,66.2,52.85,38,Medium,1
67.9,36.47,44.53,56,High,1
85.41,56.26,61.49,48,Low,1
62.85,67.93,52.25,30,Medium,1
25.97,40.69,33.55,19,High,0
90.95,83.59,57.41,54,Medium,1
86.42,86.31,86.15,60,Low,1
84.1,60.37,53.33,38,Medium,1
78.12,70.99,60.26,71,Low,1
95.54,55.39,67.78,58,Low,1
90.01,73.98,67.11,94,Low,1
59.46,50.79,54.92,21,Medium,1
60.77,46.48,56.2,39,Medium,1
68.23,80.39,71.27,63,Medium,1
51.99,82.41,59.81,36,High,1
87.93,75.02,67.38,79,Low,1
56.28,58.22,73.63,36,Medium,1
53.69,25.01,49.34,12,High,0
77.09,57.88,66.34,48,Low,1
89.93,71.58,66.0,88,Low,1
72.44,78.41,65.4,60,Medium,1
81.62,75.68,87.23,88,Low,1
66.74,82.09,100.0,46,Medium,1
78.71,78.33,62.3,55,Low,1
64.93,67.47,55.61,40,Medium,1
62.33,48.2,49.19,26,Medium,1
68.79,68.51,82.47,81,Medium,1
60.05,24.52,50.5,37,Medium,0
84.43,77.46,65.55,34,Low,1
73.36,74.16,86.3,62,Medium,1
21.65,50.55,43.25,25,High,0
80.0,71.46,81.95,60,Low,1
52.15,40.06,66.91,12,High,1
90.08,63.35,62.83,40,Low,1
71.99,74.76,88.25,105,Medium,1
43.16,32.88,31.41,18,High,0
66.23,52.22,54.15,34,Medium,1
80.5,89.64,69.38,59,Low,1
58.06,71.49,55.27,38,Medium,1
76.26,87.67,89.45,77,Low,1
80.12,71.78,65.95,46,Low,1
60.0,57.39,65.95,28,Medium,1
74.39,51.69,51.72,44,Medium,1
38.65,39.96,31.6,7,High,0
43.67,48.58,33.96,19,High,0
79.59,71.4,64.57,60,Low,1
84.6,73.72,64.31,84,Low,1
89.84,94.53,72.97,58,Low,1
68.18,46.43,58.55,18,Medium,1
90.37,86.82,65.72,68,Low,1
88.91,55.71,64.96,76,Low,1
48.7,63.56,34.0,44,High,1
25.58,52.6,41.22,15,High,0
82.24,71.94,80.86,90,Low,1
94.87,75.89,63.55,59,Low,1
66.57,78.89,79.88,85,Medium,1
57.28,66.01,77.66,41,Medium,1
23.86,46.42,29.24,5,High,0
62.85,58.53,64.52,29,Medium,1
52.19,47.73,54.28,67,High,0
86.96,72.24,70.85,66,Low,1
81.65,82.7,73.58,36,Low,1
65.9,84.51,63.46,80,Medium,1
77.46,76.54,76.27,75,Low,1
78.98,70.18,71.6,85,Low,1
58.04,40.84,29.69,14,High,0
20.72,35.32,43.71,8,High,0
46.93,46.33,38.32,0,High,0
62.61,61.1,60.23,42,Medium,1
88.62,79.61,79.09,78,Low,1
73.19,83.34,65.02,52,Medium,1
72.49,89.91,71.8,53,Medium,1
64.76,34.2,33.79,12,High,0
58.62,68.61,47.31,39,Medium,1
36.65,48.76,24.9,14,High,0
45.19,53.57,81.69,28,High,1
36.88,45.4,35.64,28,High,0
66.42,74.74,64.64,26,Medium,1
87.14,92.94,68.6,45,Low,1
62.88,41.02,13.99,5,High,0
48.4,55.96,89.29,34,High,1
95.11,82.63,79.28,62,Low,1
87.17,71.94,74.5,51,Low,1
80.5,71.18,66.41,54,Low,1
93.02,58.66,58.76,70,Medium,1
74.68,67.36,59.8,39,Medium,1
37.0,48.63,60.66,13,High,1
72.54,57.59,55.02,25,Medium,1
71.53,56.53,47.78,45,Medium,1
52.48,69.11,43.24,11,High,1
50.49,57.24,27.85,5,High,0
62.24,36.04,35.95,13,High,0
55.53,70.5,43.38,47,High,1
81.82,80.9,59.5,61,Medium,1
64.35,49.75,43.35,26,High,1
85.96,69.23,70.79,48,Low,1
65.73,47.5,44.3,29,High,0
98.69,76.23,85.19,53,Low,1
55.22,64.35,53.71,29,Medium,1
50.43,57.65,32.27,23,High,0
49.73,81.69,70.35,37,High,1
38.74,34.43,52.74,13,High,0
82.28,80.81,63.81,58,Low,1
92.6,66.36,79.76,34,Low,1
52.3,61.06,52.46,20,High,1
77.06,65.12,77.36,79,Low,1
80.23,45.14,49.44,37,Medium,1
97.85,70.44,82.85,67,Low,1
52.81,36.25,26.65,12,High,0
86.25,77.65,73.92,61,Low,1
65.61,24.31,32.51,14,High,0
70.68,63.95,70.48,39,Medium,1
73.53,71.0,78.3,36,Medium,1
62.24,40.94,61.96,35,Medium,1
93.48,73.84,69.77,58,Low,1
70.14,40.33,45.48,28,Medium,0
60.06,58.4,39.35,40,High,0
64.18,48.11,56.75,26,Medium,1
47.85,58.91,63.67,13,High,1
33.24,51.31,34.02,23,High,0
85.26,65.49,81.19,49,Low,1
56.79,63.38,52.23,30,Medium,1
63.39,64.55,61.63,96,Medium,1
84.72,71.65,65.8,43,Low,1
88.7,73.24,87.57,31,Low,1
87.64,76.79,68.76,74,Low,1
23.86,43.01,47.51,11,High,0
63.76,54.27,60.41,22,Medium,1
56.27,87.81,73.1,76,Medium,1
75.04,73.39,58.22,76,Medium,1
52.81,60.17,49.89,20,High,1
83.91,88.28,57.4,50,Medium,1
66.54,57.27,46.3,47,Medium,1
98.21,66.86,60.75,70,Low,1
71.58,68.11,69.2,74,Medium,1
93.12,84.53,89.36,65,Low,1
84.47,76.74,89.26,42,Low,1
64.9,67.92,51.05,49,Medium,1
77.8,81.78,79.86,70,Low,1
77.9,77.91,56.39,48,Medium,1
93.76,68.88,85.35,53,Low,1
72.29,68.1,69.68,64,Medium,1
86.05,83.51,78.01,64,Low,1
89.12,82.46,75.34,61,Low,1
51.69,29.84,44.9,7,High,0
76.61,85.47,80.56,39,Low,1
61.36,61.06,46.96,24,Medium,1
41.47,35.91,36.81,10,High,0
82.1,86.04,62.28,67,Low,1
58.57,48.94,49.56,27,Medium,1
49.61,69.02,60.41,15,High,1
87.7,66.25,69.9,87,Low,1
94.36,85.48,55.54,33,Medium,1
67.19,70.97,35.58,30,High,1
23.87,39.24,43.28,22,High,0
69.82,76.36,73.98,90,Medium,1
87.03,81.15,77.78,49,Low,1
65.59,68.54,60.02,68,Medium,1
87.01,72.28,39.59,54,High,1
89.51,80.07,88.18,60,Low,1
47.02,34.0,44.06,12,High,0
80.38,87.22,78.34,77,Low,1
89.22,82.25,59.32,71,Medium,1
90.11,79.21,70.24,73,Low,1
55.22,50.73,45.35,38,Medium,0
48.93,25.25,44.14,8,High,0
77.96,72.62,84.94,67,Low,1
69.63,84.59,86.18,52,Medium,1
72.12,53.96,55.02,36,Medium,1
82.82,60.16,78.78,66,Low,1
63.59,32.43,44.79,17,High,0
71.81,66.26,43.98,36,High,1
72.04,58.54,56.38,23,Medium,1
92.4,62.79,79.25,82,Low,1
50.79,83.99,36.04,43,High,1
88.57,66.71,75.08,69,Low,1
84.78,70.91,81.14,66,Low,1
75.73,60.19,45.94,34,Medium,1
87.51,74.59,82.74,44,Low,1
35.41,29.98,14.61,14,High,0
71.41,72.72,67.0,71,Medium,1
66.22,81.71,78.49,69,Medium,1
86.02,70.41,74.11,73,Low,1
67.93,52.62,65.29,41,Medium,1
61.33,56.06,63.19,42,Medium,1
74.0,91.55,56.87,57,Medium,1
74.86,49.08,55.77,27,Medium,1
88.27,76.97,60.63,79,Low,1
72.54,51.2,76.9,95,Medium,1
76.51,69.91,83.46,53,Low,1
91.39,86.21,89.12,107,Low,1
95.67,78.15,74.68,58,Low,1
76.49,84.28,71.49,67,Low,1
69.1,81.09,54.95,74,Medium,1
92.57,84.64,70.91,44,Low,1
74.0,69.87,67.28,101,Medium,1
71.87,61.35,61.21,32,Medium,1
61.31,55.6,46.76,28,Medium,1
72.68,45.43,69.18,31,Medium,1
61.16,52.98,71.84,39,Medium,1
86.76,72.6,84.24,62,Low,1
38.01,46.21,56.64,53,High,0
75.17,62.45,76.0,71,Low,1
65.23,74.54,60.6,48,Medium,1
76.77,84.82,90.89,64,Low,1
94.04,80.26,85.43,57,Low,1
76.42,82.24,68.58,58,Low,1
55.56,66.06,57.02,35,Medium,1
73.92,74.68,56.56,51,Medium,1
74.69,73.86,64.81,68,Medium,1
62.05,70.09,54.73,54,Medium,1
49.33,24.18,29.74,13,High,0
84.28,57.67,49.46,32,Medium,1
71.78,64.68,67.67,35,Medium,1
80.01,73.09,71.5,59,Low,1
84.49,72.33,73.78,83,Low,1
100.0,59.5,63.44,17,Low,1
65.42,46.56,47.29,28,Medium,1
53.97,54.73,76.84,16,High,1
76.98,57.82,54.33,35,Medium,1
74.35,81.63,79.1,55,Medium,1
59.69,49.04,45.01,29,Medium,1
76.99,74.63,69.41,67,Low,1
48.59,55.27,42.65,0,High,0
58.82,58.34,51.01,46,Medium,1
82.73,60.26,79.77,58,Low,1
63.76,51.03,67.52,28,Medium,1
63.73,43.15,42.43,24,High,1
80.82,74.34,95.73,82,Low,1
64.63,52.16,37.22,24,High,0
74.71,73.69,79.37,81,Medium,1
66.58,62.15,77.97,62,Medium,1
74.5,65.89,75.05,61,Medium,1
80.54,90.2,68.18,63,Low,1
44.09,50.55,24.7,12,High,0
43.2,37.43,13.44,35,High,0
74.17,61.06,75.12,55,Medium,1
81.59,61.35,75.5,75,Low,1
66.61,62.67,49.01,28,Medium,1
73.13,75.63,77.0,69,Medium,1
8.46,18.78,75.91,27,High,0
79.95,84.2,64.73,61,Low,1
45.7,34.35,51.58,26,High,0
82.06,81.37,72.9,64,Low,1
64.73,63.57,61.95,43,Medium,1
79.49,71.92,90.88,73,Low,1
65.65,80.06,55.88,0,Medium,1
75.9,70.04,67.74,54,Low,1
93.38,78.98,77.77,53,Low,1
48.49,50.69,35.0,7,High,0
84.01,60.78,80.7,73,Low,1
79.96,75.99,74.06,54,Low,1
81.51,74.05,55.37,34,Medium,1
70.86,62.31,46.73,53,Medium,1
66.12,37.91,54.4,8,Medium,0
87.73,100.0,76.1,65,Low,1
66.88,74.92,84.85,81,Medium,1
46.85,31.67,14.23,9,High,0
76.82,80.69,62.39,53,Low,1
83.37,78.7,61.81,53,Low,1
73.96,93.68,79.03,52,Medium,1
49.8,35.92,75.26,36,High,1
61.36,51.66,34.03,33,High,1
81.67,61.07,58.37,57,Medium,1
85.0,85.63,67.68,54,Low,1
43.54,32.9,13.09,7,High,0
75.15,75.94,64.34,77,Low,1
48.61,38.68,31.66,19,High,0
72.49,88.46,86.77,65,Medium,1
78.57,80.46,79.09,71,Low,1
63.85,68.31,59.27,23,Medium,1
37.94,54.57,36.81,16,High,0
100.0,70.99,74.84,73,Low,1
86.9,70.65,75.93,92,Low,1
83.69,69.49,66.67,74,Low,1
86.71,64.74,75.36,73,Low,1
75.89,54.14,44.93,37,High,1
36.44,27.22,47.75,1,High,0
69.51,59.23,38.96,54,High,1
70.67,63.03,71.39,73,Medium,1
88.6,81.4,73.52,75,Low,1
85.55,75.46,74.96,69,Low,1
55.86,56.23,6.26,30,High,0
98.95,63.4,79.35,49,Low,1
77.07,76.3,80.49,56,Low,1
78.53,87.28,68.4,37,Low,1
74.58,75.26,73.75,64,Medium,1
53.55,53.31,41.48,32,High,1
77.48,50.13,58.66,13,Medium,1
51.34,26.53,37.68,1,High,0
